BUNDESAMT FUER LANDESTOPOGRAFIE SWISSTOPO - DREIECKSVERMASCHUNG CHENyx06
FUER DIE KOORDINATENTRANSFORMATION LV03 <-> LV95 UEBER FINITE ELEMENTE
DREIECKSVERMASCHUNGSDEFINITION:                 STAND DER NACHFUERUNG:  03.2007
AG0362 10691460       10892040       10893082       2006
AG0363 10692401       10691460       10893082       2006
AG0364 10692401       10893082       10693340       2006
AG0365 10693340       10893082       10695481       2006
AG0366 10695481       10893082       10896063       2006
AG0367 10896063       10697581       10695481       2006
AG0368 10898621       10901581       10900681       2006
AG0369 11087461       11091500       11099010       2006
AG0370 11091450       11099010       11091500       2006
AG0371 11091280       11099010       11091450       2006
AG0372 10891137       10891160       10893230       2006
AG0373 10891137       10890030       10891160       2006
AG0374 10891137       10892040       10890030       2006
AG0375 11084220       11084360       11085281       2006
AG0376 11084220       11085281       11086030       2006
AG0400 11101091       11102201       11103050       2006
AG0401 11101091       11103050       10901581       2006
AG0402 10901581       11103050       10902351       2006
AG0403 10902351       11103050       10903261       2006
AG0404 10903261       11103050       10905292       2006
AG0405 10905292       11103050       11105031       2006
AG0406 11103050       11104131       11105031       2006
AG0407 11105031       11104131       11105321       2006
AG0408 11103161       11105321       11104131       2006
AG0409 11103161       11104131       11103050       2006
AG0410 11102201       11103161       11103050       2006
AG0411 11307311       11308163       11306140       2006
AG0412 11307311       11310300       11308163       2006
AG0413 11310300       11311540       11308163       2006
AG0414 11306140       11308163       11311540       2006
AG0415 11306140       11311540       11308000       2006
AG0416 11105541       11306140       11308000       2006
AG0417 11105541       11308000       11107411       2006
AG0418 11107411       11308000       11110420       2006
AG0419 11105321       11105541       11107411       2006
AG0420 11107411       11106312       11105321       2006
AG0421 11106312       11107411       11108261       2006
AG0422 11110270       11108261       11107411       2006
AG0423 11110270       11107411       11110320       2006
AG0424 11107411       11110420       11110320       2006
AG0425 11106181       11105321       11106312       2006
AG0426 11106181       11106312       11108261       2006
AG0427 11105031       11105321       11106181       2006
AG0428 10906701       11105031       11106181       2006
AG0429 11106181       11108061       10906701       2006
AG0430 11106181       11108121       11108061       2006
AG0431 11106181       11108261       11108121       2006
AG0432 11111180       11108121       11108261       2006
AG0433 11111101       11108121       11111180       2006
AG0434 10905292       11105031       10906681       2006
AG0435 10906681       11105031       10906701       2006
AG0436 10907401       10905292       10906401       2006
AG0437 10906681       10906401       10905292       2006
AG0438 10907401       10906401       10907601       2006
AG0439 10907601       10906401       10907721       2006
AG0440 10907721       10906401       10906681       2006
AG0441 10907401       10908361       10908271       2006
AG0442 10907401       10907601       10908361       2006
AG0443 10910270       10908271       10908361       2006
AG0444 10910270       10908361       10910340       2006
AG0445 10907601       10907721       10908551       2006
AG0446 10907601       10908551       10910361       2006
AG0447 10907601       10910361       10908361       2006
AG0448 10910340       10908361       10910361       2006
AG0449 10906681       10906701       10907721       2006
AG0450 10906701       10908551       10907721       2006
AG0451 10906701       11108061       10908551       2006
AG0452 10910401       10908551       11108061       2006
AG0453 10910361       10908551       10910401       2006
AG0454 10910401       11108061       11108121       2006
AG0455 11110011       11108121       11111072       2006
AG0456 11111072       11108121       11111101       2006
AG0457 11119000       11111072       11111101       2006
AG0458 11110011       11111072       11119000       2006
AG0459 11110011       10910401       11108121       2006
AG0460 11110011       11119000       10910401       2006
AI0001 10760550       10756240       10758600       2006
AI0002 10756240       10757440       10758600       2006
AI0003 10756240       10755320       10757440       2006
AI0004 10755320       10955710       10757440       2006
AI0005 10753640       10955710       10755320       2006
AI0006 10753640       10951110       10953100       2006
AI0007 10753640       10953100       10955710       2006
AI0008 10953100       10955280       10955710       2006
AI0009 10955280       10957350       10957140       2006
AI0010 10951110       10947160       10950300       2006
AI0011 10947160       10947280       10950300       2006
AI0012 10946140       10947280       10947160       2006
AI0013 10946140       10944600       10946410       2006
AI0014 10946140       10946410       10947280       2006
AI0015 10947280       10946410       10947430       2006
AI0016 10947280       10947430       10950300       2006
AI0017 10944600       10944320       10946410       2006
AI0018 10944320       10945510       10946410       2006
AI0020 10946410       10945510       10947610       2006
AI0021 10946410       10947610       10947430       2006
AI0023 10945510       11144030       11147440       2006
AI0024 10947610       10945510       11147440       2006
AI0025 11144030       11144150       11147440       2006
AI0026 11147440       11144150       11145250       2006
AI0027 11147440       11145250       11147280       2006
AI0028 11147440       11147280       11148000       2006
AI0029 11148000       11147280       11148220       2006
AI0030 11148000       11148220       11151360       2006
AR0001 10760550       10758600       10761380       2006
AR0002 10758600       10960200       10761380       2006
AR0003 10758600       10757440       10960200       2006
AR0004 10757440       10957140       10960200       2006
AR0005 10955710       10957140       10757440       2006
AR0006 10955280       10957140       10955710       2006
AR0007 10951110       10950300       10952350       2006
AR0008 10951110       10952350       10953100       2006
AR0009 10953100       10952350       10954350       2006
AR0010 10953100       10954350       10955280       2006
AR0011 10954350       10955480       10955280       2006
AR0012 10955280       10955480       10957350       2006
AR0013 10957350       10955480       10957500       2006
AR0014 10950300       10947430       10951790       2006
AR0015 10950300       10951790       10952350       2006
AR0016 10952350       10951790       10952740       2006
AR0017 10952350       10952740       10954350       2006
AR0018 10954350       10952740       10955480       2006
AR0019 10955480       10952740       11154590       2006
AR0020 10955480       11154590       10957650       2006
AR0021 10957500       10955480       10957650       2006
AR0022 10957650       11154590       11156120       2006
