anumber	ost	nord	state_of
10732150	711579.070	263022.100	2006
10732270	712331.690	260372.540	2006
10733480	714755.680	257051.370	2006
10733550	713046.750	255756.070	2006
10734180	715670.690	262279.590	2006
10734300	716010.260	259914.590	2006
10734551	716827.796	254465.108	2006
10735040	718334.940	265199.180	2006
10735390	717615.660	257951.610	2006
10736080	719359.640	264319.940	2006
10736150	721204.260	263416.290	2006
10736210	720059.040	261728.330	2006
10736400	719880.080	258303.210	2006
10737030	721053.010	265773.560	2006
10737180	722513.310	262316.150	2006
10737510	721337.280	255893.210	2006
10738090	723814.920	264489.370	2006
10738200	723480.900	261656.650	2006
10738330	723271.550	258691.820	2006
10738451	724526.250	255712.910	2006
10739000	718000.000	260360.000	2006
10739010	718300.000	259130.000	2006
10740000	726833.620	261519.640	2006
10740010	726803.750	265918.630	2006
10740120	726041.420	263392.370	2006
10740380	726825.180	258786.970	2006
10741080	727976.720	264419.880	2006
10741620	727570.420	254769.940	2006
10742090	729767.310	264968.200	2006
10742251	730258.290	262480.650	2006
10742420	729476.490	259724.600	2006
10742730	729861.260	257263.920	2006
10742740	730305.720	254090.700	2006
10743050	732546.910	265393.130	2006
10743270	732199.060	260486.840	2006
10744040	734187.190	265110.810	2006
10744180	733027.080	262899.230	2006
10744201	734656.520	262824.420	2006
10744500	734158.110	257958.590	2006
10744660	733139.660	255432.300	2006
10745040	737020.320	264927.010	2006
10745320	735587.120	260394.010	2006
10745630	736217.880	255007.660	2006
10746120	738997.050	263816.830	2006
10746470	738108.980	258481.560	2006
10747370	739429.620	260325.790	2006
10747480	740795.150	257519.750	2006
10747600	739420.200	255149.410	2006
10748020	742371.760	265904.200	2006
10748120	742139.120	263165.230	2006
10750270	742662.340	260102.320	2006
10750382	743447.510	256557.690	2006
10751070	744200.210	264775.830	2006
10751240	745514.530	261796.090	2006
10751390	745936.910	258890.070	2006
10752610	746856.940	256124.060	2006
10753060	747949.600	264026.350	2006
10753250	748458.450	260927.490	2006
10753390	749178.630	258132.380	2006
10753640	748924.830	254230.320	2006
10754000	751581.160	259783.660	2006
10754020	750769.800	264354.200	2006
10755050	753566.160	261758.630	2006
10755320	752011.290	256870.210	2006
10756240	755674.670	257914.100	2006
10757440	756332.000	254877.130	2006
10757496	757043.590	260536.650	2006
10758600	759632.570	256136.630	2006
10760036	760442.840	262143.340	2006
10760550	760147.670	259425.500	2006
10761060	763781.400	259488.470	2006
10761380	763465.730	255272.550	2006
10763170	766673.210	254127.390	2006
10763180	766584.760	257125.090	2006
10768010	776376.040	264478.640	2006
10844090	558372.510	246952.000	2006
10845140	560578.020	247748.010	2006
10846000	563016.760	251104.970	2006
10846240	562325.320	249371.510	2006
10846518	563748.980	245918.580	2006
10847230	565969.960	249649.120	2006
10849010	559000.000	253000.000	2006
10849020	555000.000	246000.000	2006
10850050	567613.030	253288.800	2006
10850290	568715.120	246664.830	2006
10851110	569635.560	251416.280	2006
10852080	571591.030	252425.540	2006
10852200	571572.890	251030.170	2006
10852340	571541.260	247821.520	2006
10852520	571080.190	244278.810	2006
10853200	573497.370	250933.530	2006
10853230	573036.450	250305.180	2006
10853250	573778.080	250026.520	2006
10853330	573258.610	248677.800	2006
10853440	574751.010	246202.620	2006
10854120	575567.720	251602.420	2006
10854160	576024.990	250225.330	2006
10854240	576556.530	247593.590	2006
10854330	576641.470	245356.590	2006
10854380	575169.330	243879.240	2006
10855130	577533.270	250482.650	2006
10855220	578508.920	248774.110	2006
10855370	578727.710	246092.900	2006
10856160	579589.330	250819.190	2006
10856250	580927.850	248739.370	2006
10856440	580692.200	244638.170	2006
10857000	582653.350	247511.690	2006
10857040	582851.250	252984.250	2006
10858000	584293.290	249277.330	2006
10858470	583981.070	245092.140	2006
10858590	582893.720	242055.160	2006
10859010	569000.000	244000.000	2006
10860040	585266.600	251866.700	2006
10860140	585983.720	249854.240	2006
10860500	585614.830	242586.870	2006
10861440	587610.640	244130.820	2006
10861500	589162.640	242405.690	2006
10861550	587607.530	242256.210	2006
10862010	590072.940	253868.510	2006
10862120	589070.990	251288.630	2006
